kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti,COS,Rado. Č.,STAN,Zelený,ROZUMNÍ,SSO,BPI,ODA,EU referendum,TOP 09,DB 2016,SPR,Křesťaní,ČSNS,REALIST,SPORT,DSSS,SPO
535494,Úsilné,374,258,256,49,"0,00",12,"0,39","0,78",11,0,0,"0,00","4,68",0,"0,00",23,"8,98","4,29",1,2,"0,78",7,"2,73",0,"0,00",2,23
545228,Včelná,1593,1082,1077,195,"0,09",45,"2,13","0,09",64,1,1,"0,09","4,17",0,"0,00",55,"5,10","5,94",23,8,"0,74",24,"2,22",0,"0,00",1,101
535737,Vidov,442,333,329,42,"0,00",11,"0,91","0,30",15,0,0,"0,00","3,34",0,"0,00",26,"7,90","4,55",3,1,"0,30",13,"3,95",0,"0,00",1,42
535893,Vitín,339,229,225,21,"0,00",26,"1,77","0,00",15,0,0,"0,00","11,55",0,"0,00",9,"4,00","6,66",4,1,"0,44",7,"3,11",0,"0,00",0,15
535915,Vlkov,33,24,24,1,"0,00",0,"8,33","0,00",1,0,2,"8,33","0,00",0,"0,00",2,"8,33","4,16",2,1,"4,16",0,"0,00",0,"0,00",0,5
545261,Vrábče,593,390,383,59,"0,26",16,"2,61","0,00",21,1,0,"0,00","4,17",0,"0,00",19,"4,96","5,48",10,1,"0,26",6,"1,56",0,"0,00",0,44
535796,Vráto,312,219,218,44,"0,00",9,"1,37","2,29",15,0,1,"0,45","4,12",2,"0,91",13,"5,96","6,88",3,2,"0,91",8,"3,66",0,"0,00",5,22
545287,Všemyslice,879,583,582,93,"0,00",30,"0,51","0,34",46,0,2,"0,34","5,15",0,"0,00",25,"4,29","7,90",3,3,"0,51",5,"0,85",2,"0,34",2,76
545317,Záboří,289,161,160,17,"0,00",21,"0,62","0,00",16,0,0,"0,00","13,12",0,"0,00",15,"9,37","10,00",1,1,"0,62",3,"1,87",0,"0,00",0,11
536016,Zahájí,371,253,252,22,"0,79",18,"1,19","0,39",30,2,0,"0,00","7,14",0,"0,00",20,"7,93","11,90",3,1,"0,39",3,"1,19",0,"0,00",1,12
599778,Závraty,33,25,25,4,"0,00",1,"0,00","0,00",0,0,0,"0,00","4,00",0,"0,00",3,"12,00","0,00",0,0,"0,00",2,"8,00",0,"0,00",0,0
545341,Zliv,2941,1846,1831,188,"0,21",115,"1,03","0,27",169,4,0,"0,00","6,28",3,"0,16",107,"5,84","9,22",19,6,"0,32",27,"1,47",3,"0,16",5,157
535591,Zvíkov,215,168,168,19,"0,00",11,"0,59","0,00",20,0,0,"0,00","6,54",0,"0,00",12,"7,14","11,90",1,5,"2,97",3,"1,78",0,"0,00",0,15
545368,Žabovřesky,336,208,206,20,"0,00",13,"0,00","0,48",16,0,1,"0,48","6,31",0,"0,00",16,"7,76","7,76",0,1,"0,48",0,"0,00",0,"0,00",1,33
545376,Žár,284,139,139,9,"0,71",4,"0,71","0,00",27,1,0,"0,00","2,87",0,"0,00",2,"1,43","19,42",1,3,"2,15",1,"0,71",1,"0,71",0,17
545384,Žimutice,518,326,323,35,"0,92",38,"0,61","0,00",25,3,0,"0,00","11,76",1,"0,30",9,"2,78","7,73",2,2,"0,61",1,"0,30",0,"0,00",0,27
